"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"BRD7",4.54141606469948,4.5591153876433,3.42829963735813,2.47650489503059,4.32398208694524,2.77943547610301,4.06399852897522,2.36065464275521,4.07776338063506,3.64837850115762,4.71534513679547,4.22137288004703
"HARS1",6.53087685377488,7.08724406909187,6.1291211561354,5.14829362352301,6.88175107615688,5.19346593584743,6.60652917128593,5.1260173726748,6.08182854189988,6.14779955869985,6.5389654926642,7.33792333897068
"HBB",10.9982143391451,11.2091602394032,10.2883472799915,10.8811004624881,11.8091515245956,12.8298052742359,12.140514278999,11.1352022040229,8.92951569184474,8.71844638336548,9.26905169628681,7.65185730160928
"HBD",4.93027706150383,4.87785759247858,4.74320445032853,4.9164254096853,6.33447014268917,5.28889739750921,6.73761947382818,6.89459116454543,4.28057648281659,4.54792938111342,4.37902550083511,4.81686097954254
"HCLS1",7.14538065679818,7.84873624197621,6.45001393612307,5.57073018729457,7.29047720614392,5.51868790211414,6.56090657272344,5.15126977407862,7.37650788323542,6.92980132019493,8.40261384521492,6.72093949958441
"ANXA11",7.52666255150165,6.38332264952297,5.82553703686667,5.92455112423544,6.97266980017248,5.99840400423982,6.79736769834623,5.93082401326444,7.93926895523273,7.18371733001979,7.7491061427535,7.07528766876599
"HLA-DPB1",6.55299277001975,5.57313408691437,6.12210196376683,3.53563109925059,6.01381320496091,4.04365423681211,5.59440458466419,5.20850947932456,6.80100430908379,5.37001697969033,6.24567496506678,6.05660488764361
"HLA-DRA",6.16156006825757,5.88637633713701,5.84694903823857,3.42713850407784,4.17593154627967,3.26492133342535,3.90190719962284,3.63761292268255,5.75492088578992,5.2617579311308,5.02424606799444,5.93212487674661
"AOAH",3.93996342272403,3.38751291441517,3.84704213475865,3.51340317991971,4.98159447036922,3.16526396365873,4.00396425787006,4.27952714775951,5.36892294448591,4.41980733781696,5.00223883867589,5.64127564669409
"HMOX1",9.04072799596972,9.1827060643209,5.85017381281843,7.21587105004008,4.47354010131318,5.17234426232078,4.50664389796812,5.4756402761708,4.91209909081178,5.52617723734445,5.15265848120158,6.41403850784902
"HNRNPC",6.20117549831696,6.86218589600388,4.72249174586789,5.54511482001708,5.18826851402109,5.18901724396405,5.97887509810168,3.99314681116908,4.64883582905431,5.51691261418645,4.86913973093088,5.0223620526056
"HNRNPU",7.42699757223508,8.02486625825389,7.28715795341359,6.06150823451716,6.96729177691006,6.32347131288252,6.52176129100219,6.29509744580972,6.91598127766718,6.79720519445544,6.24575416723191,7.29093529416984
"HOXB2",5.84747043008016,5.15359515542184,5.57596354635654,6.16070586631517,6.31099893325881,5.43257863161408,6.65257162158313,6.26783798061626,6.90356281864904,5.62650696881168,6.02999096657175,6.29454490206805
"PRMT1",6.73511709335371,7.71064482706648,5.89326616677961,4.61722100857755,6.57696015423979,7.58789567413131,5.54817398834169,5.21045860044579,6.30952711202226,7.34076175118878,6.63202245176004,6.33278321679624
"DNAJA1",7.40253703305044,8.36778013801298,5.58987236446917,5.6169765363001,5.17451657309096,5.62201264591336,6.51293333307885,6.18754848423372,5.13707873037736,6.67589879260371,5.25780624106901,5.30587290345381
"HSPA9",7.36323595129796,8.65577209563059,4.97593472666364,5.40445281339877,6.3819788560689,5.87643917549246,6.86211634186671,5.3385783346851,4.63201280475078,6.27400208048674,5.28205535350405,5.60384005703961
"HSPB1",6.97671771079437,7.90494031969223,4.41169923772187,5.20451122998045,3.6204718444978,4.72164322079862,3.07974586206084,5.05594945343775,5.20185557274342,5.46107740285217,4.91542710087917,6.94700755399862
"HSP90AB1",6.37854606915992,8.80804625135207,5.65295180464961,5.17900538337248,5.35388642039889,6.09361391898567,5.91955839961147,6.56515508950379,5.0109454942008,6.6076976418594,5.35672016084589,6.91775607732784
"IRF8",5.07834775079207,7.16053973292461,5.32465494697252,4.77430620912037,4.14693723384503,4.7093200643414,3.99937215560319,4.05853015518414,4.36006719413722,5.53927192027276,4.20617588006915,5.65262735088386
"ID3",3.82734938159438,3.83972571069551,5.04340701248229,2.80751434613629,2.95318966461113,2.57098756420995,3.66193803003017,2.82362678533831,2.94350804157715,2.40550187237049,3.37507427002831,3.07316663762539
"IFIT3",5.53074230300999,4.59872522867564,5.85980034392755,5.3435611365373,4.37959900366301,3.78616741204239,4.25247744775859,4.4390404827675,4.26370515220815,4.13822122127323,4.01211553397735,5.37441223110941
"IL1B",3.66414782007756,5.85189970746332,3.91649206760554,3.99025211589002,3.31042146436523,3.63282191352203,3.44989258399694,4.04376051884552,5.80172245510503,6.72457892530401,5.42222083798121,4.17664246991017
"IL2",1.85455461036934,6.70289855821966,2.12423758053407,2.07470523673016,2.02378802175539,2.79320563664697,1.77102150632501,2.15593680015467,2.04860810364581,3.99673861987495,1.90191505439941,2.80690280051202
"CXCL8",4.78839390063888,7.24040598593726,4.40710785638898,3.8993651154063,3.34776844205651,3.18066828023495,3.33908601683519,2.99949169436534,4.08217107793746,4.90386721916119,4.52808569667616,3.88184229613776
"IMPDH2",6.14379240285539,7.41201428526109,5.18265870178598,5.34995875290364,5.6969090288684,6.47523161517098,5.09368179700359,4.89254848338433,6.15843588272875,7.78208669027214,6.71024979017244,6.53346707814105
"INHBA",3.97273474917276,4.36070121503082,2.83647886958124,3.27598503199031,2.72602394274884,3.08931921764052,3.16986712828096,3.11485088792916,3.99690287684816,5.3760593089292,3.86298293291639,4.52363696460773
"EIF3E",8.31923844896756,8.76594556485804,8.31348173961538,7.23881056357423,8.40145666559017,7.14294566012694,7.91847268405424,6.32479135741823,8.02691551646304,7.72090852826508,7.8910158006295,7.74341156052213
"IRF3",4.66004820838775,4.7711877950455,5.72391361253261,3.96162648939073,6.34769593148403,3.96816269415659,4.73469929269674,5.36050066487368,6.02949114210917,5.53729012425179,5.98198587749234,6.82456019213725
"ITGB2",5.74985539426851,4.77795680074355,5.6709570903837,5.22696893635504,5.7029127095451,5.2670568870288,4.7609944303829,5.02801500509819,6.99285263241248,6.43007546365614,7.60359650833712,5.80389670441365
"EIF6",6.55029847756023,7.31928328923568,5.92836409328328,4.9756579260224,6.57408948064361,6.73802737284769,5.66168717550394,5.25327877576449,5.66642090873088,6.54141236689197,5.7958213777934,6.60122951492996
"JAK1",6.85531880620587,7.92087409082555,6.04131046083701,6.16313795214042,7.43575498277118,6.30107819354702,7.59628324129615,6.04522300597143,7.08772763305249,7.8259217353164,7.99109987019409,7.78967503052035
"GSTK1",6.20585426643506,5.42044830078481,5.62784309129239,5.92365396593765,6.30837338496019,4.57270796375138,5.83376312254543,4.41760682414302,7.19379783928278,6.80782430497013,7.17023265773475,7.68704991586901
"KLRB1",6.49862870785522,5.8629397110877,4.91120105376562,6.24248483126286,7.79915265590747,6.66662092199173,8.91969110083715,5.96123898351103,6.8221292776604,6.32287064391193,6.84268887302439,5.79323406124156
"LAMP1",8.81648445278624,8.89668599488074,7.927455788339,5.47784990862043,8.4275609624001,6.98563531466155,7.44403501544346,5.42098011777604,7.73735710113986,6.98919232719288,8.0167993149307,8.18320828346569
"LBR",5.25926150968857,5.48185991221065,3.55403233390713,3.03794222562659,4.69557229430929,3.19872140927184,3.62073171195026,3.24692420650823,3.92058484726703,3.56747581660955,4.19893466108623,4.63179596525215
"LGALS1",6.56338986443137,7.67005018204429,5.76034667344846,5.67568344784989,6.48152046124807,5.50022958310909,5.53715171063172,5.28967055394705,5.53685181419546,5.240596535233,5.91869042668286,6.17944207060555
"LGALS3",7.48737503208636,6.42299480071925,5.36834120760486,5.15151830099093,6.6522729788249,5.15138486743352,6.60634051548165,6.53005590906515,7.41407878430143,6.41001715085489,6.68398934696288,7.44602171872114
"ABLIM1",8.16655417359303,8.56474517058279,7.04604277814638,6.67035561634457,8.32267572659255,6.06868401880086,7.50297804419992,4.92280261166339,6.96292632528515,6.92369417339233,8.04575842289813,7.07530128019271
"LTA4H",5.59567996692674,5.66146180852112,5.0363733020975,3.85009175540608,6.16753612069697,5.63499943159827,5.60605363015413,5.00897121982362,6.58082332528554,5.80317130892541,6.95762261629285,6.53058219987221
"MT1H",11.2092434251036,10.7132536813071,10.68307224848,11.0837094525474,7.37650097232925,8.21034897337005,11.592701780223,12.1607650784903,8.57285740093138,10.4832827584494,10.5132340811874,10.6983461251051
"MT2A",11.8924089993583,11.6699978379297,11.4219128300574,12.1707043873248,8.21632166292705,8.51964347171569,12.5689774946191,12.6924521626892,9.93961748254089,11.2919821669997,11.202920563668,11.845885720752
"MYC",5.82809967187116,9.37513274088473,5.53193903748609,5.05863979951135,4.98153330797133,7.23420739990218,5.2657764824584,5.53842067409352,5.16285150605131,8.3190477469115,4.90124591945317,6.50150329665614
"NCL",7.58010822266891,8.36990185856777,6.54882146129549,6.8962890085033,6.73613078401493,6.97231145093079,7.22696629113489,5.63717506189596,6.27598892976814,7.17825304064071,7.33036474534745,6.18625084051049
"NDUFA2",7.08581289697856,6.78220406505609,6.87399702077943,5.4902697542462,6.7142943473586,5.68876389547157,6.01072307143736,5.34199473469598,6.7603923895723,6.50614287682945,7.00877103867351,7.07530128019271
"ATIC",3.72440849362616,5.46409904938314,3.92658347882318,3.76043780692397,4.15459207233082,4.24047325166249,3.95906803512167,3.16264426835691,4.80355131306731,5.98384949330227,5.36742750115403,4.65001112841296
"DRG1",6.495353445378,6.39089512067612,5.68152625947963,7.24382989858558,6.09520728994193,7.57560104485172,6.46393183668087,5.72999656403697,6.4972053332888,6.5751145402736,6.44953274457227,4.16536603521113
"NELL2",7.39465954310269,7.56500714500295,6.47098766582726,6.14802049941376,7.37239722516029,6.77329264066785,7.31315948909466,6.74445860378167,8.46788438613348,7.91745268410008,7.68700565084005,7.972622887549
"ATP1A1",5.99948567618599,6.97178347361501,6.11420959249762,5.16464476046471,6.54514275124376,4.58480342387061,6.15962012277827,5.16750522435185,5.32049578592865,6.34309908565836,6.31474311634162,6.15539235662116
"NFE2L2",6.55945385771315,7.40540556390244,4.72018934829343,5.33724867085193,5.58357825252877,4.63337777068989,5.77736429089614,4.01251955978382,5.11324436961061,5.23547736961329,5.09321894307049,5.03332906123311
"NFKB2",5.58248358129386,6.32409106891569,5.43513865338984,4.93005176026199,4.44286284655918,4.919640675156,4.64997227319874,4.70150846580887,4.80217470943428,5.56212656470518,4.72416896550292,6.10441403722543
"NINJ1",6.96258551637525,8.02644334670909,6.40968300853731,5.20997150955019,6.03594959318704,7.98987145017454,5.73969814173537,5.21782304963172,6.51063293586537,6.90223718560111,6.39372274959067,6.87394546356951
"NKG7",4.83219829333316,5.5785581205247,4.79619945757476,6.16340714321065,7.11812366333052,7.72431515229574,7.27878763630437,5.76050323985556,6.23472295710057,7.47917068686057,7.42458610199877,5.70467658082933
"NOTCH2",5.2841455208831,5.65474076273246,5.17995153663708,3.78178581678642,4.89229556295629,3.28482781972148,4.43696943652886,3.76730414272529,4.5750162211766,3.95812979826167,4.09228001155368,6.02287240978237
"NRGN",4.46742796506346,3.7173875004698,3.39015210341823,4.59438165775271,5.20101915140925,4.0796726818799,4.00855761812999,4.48382825231158,3.26589841278457,3.11073293968188,3.96856817070611,3.36461910169673
"NUP88",4.05998450092802,5.47487797398596,3.92826937962575,3.16850283638553,4.07468052405031,3.40360077271079,3.50535945934369,3.13437186955574,3.00465721106692,4.16228156415338,3.46093736431669,3.74417309597496
"OAT",4.46290718826919,6.40077687867701,4.89444645585203,4.43518744398078,5.41833968307371,4.17065624173036,4.73536024016003,4.75825258719097,4.36517012115699,5.09406952604631,6.42473576899331,5.35483780648282
"ORC5",3.26951416422632,3.23596742089159,3.58430758995673,5.12236951317142,3.86497197489564,3.58808766098114,5.43269869381,4.14892927484339,4.10566401476055,3.96140478178871,3.60758518099592,3.37842581017856
"PRDX1",8.01899053611868,9.71950498533582,5.85358346206925,6.63608121618233,6.25274736841213,7.89155731125395,6.30689534986881,5.78220452594985,7.50035285162633,8.5358242389193,7.08935340914363,7.7892749239103
"SERPINB2",4.78841681711481,6.46182899701159,3.95471184286429,4.0064928279916,3.42455996486389,4.42207833938263,3.45443029375021,4.01678264841976,4.23996974299492,5.65852907708386,4.55276844620181,4.64591162678773
"TAS2R8",2.5481604138328,2.37753306100856,2.35591562476543,4.39772090141543,2.55409678765271,3.28472126438913,2.61053347940311,2.96423478792604,3.69279002120907,3.34327298342701,2.35807021018184,2.4424303755768
