"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"208736_at",5.28789620019573,5.5037116482596,4.88844824343537,3.05767186738939,4.98764550897,3.51651570592036,4.56297680144971,2.83407716339288,3.4565595514021,3.92047841839522,5.03471812754029,4.4892366629874
"201954_at",6.06615558797835,5.70834293145158,6.09214232054175,4.66067068601869,6.24594956073825,5.18925241451771,5.04002532212624,5.02455880064304,5.8171724777219,5.86787675828634,6.00760978791652,6.48995710488268
"200996_at",5.27428067580775,6.74543513148654,3.86402836412697,3.91345786705194,5.40127278135829,5.93254946380023,4.53735825984012,3.45622223424203,4.10639709893541,5.60493023568397,5.50467599137429,5.02691002449185
"200728_at",6.92384276665021,7.19898095244508,6.08986313481883,6.61130333704603,7.77008596588366,6.88323629326489,6.74697283100144,6.21124022210892,7.22605826418167,6.95983154242259,7.63575504601167,7.81093634881793
"200972_at",5.41794485331751,4.78158159734509,4.47342273272116,3.76449290910757,4.75935623612646,3.64644368942073,4.67570844066254,3.17012553694086,4.1478934868168,3.77757262001518,4.31555999060441,4.55368779766326
"201489_at",6.02060069843302,7.61236759345436,5.45889241382323,4.32570264336402,5.16993917522957,5.78459418552198,4.62636897957203,6.06834120619297,4.78753255546931,6.09391806678821,5.18792104160047,5.5326637027669
"203445_s_at",7.46109105712361,6.33549287798608,5.88723589794976,6.15539633801679,7.57214354431834,7.2674828804969,6.9024053658311,6.24793954735816,8.2996589314793,7.04631019853102,8.57515935972119,6.63231906783724
"202207_at",6.67881174403345,6.40189187268369,6.22873028623904,5.69463100577537,7.44152460252076,5.87069052359486,7.58889057010667,5.29423767471338,6.67234500047207,6.63336186505725,6.97871048914997,5.70815423697258
"205590_at",6.72426236438577,6.13039150909862,5.09416216136686,5.53100454432821,6.65337044110873,6.05861563609729,7.08468529320452,4.69003524183067,5.72891672726342,5.66714293319175,6.13767541370225,6.2451686367641
"200837_at",6.17537762702387,6.7669076858641,6.13912375043319,5.75455601509917,6.91812257309523,7.78663248931612,6.00745754440263,6.18708134062252,6.87503113478766,7.11409865409871,6.61780287844147,7.58413641571678
"206238_s_at",3.27903234979213,3.98347428095096,4.69575357326852,5.20962993555526,4.27637000490379,3.91331211988268,4.69821774593437,4.3718253264728,3.70055941266141,3.55549175608688,4.96743638906844,4.1081041135466
"202704_at",3.14948815307705,3.92425388480569,2.8674808390596,5.35711135305884,4.51696959093442,3.84219081633944,4.85495425300474,2.81432956076974,3.83854104255938,4.18636136628641,5.81640460399967,3.64276524302737
"210962_s_at",4.81025136140275,3.95514517159132,3.357478028471,3.77419039010675,4.3376743924356,3.58979670106059,4.53482748295886,3.48788682356421,3.95609658772504,3.74036983657448,3.89677742254903,4.33768949576215
"201503_at",4.08508918668116,5.71901495834759,3.30204015197614,3.54814006441042,4.25885888193557,4.74268710353609,3.92078041781533,3.79822978421271,4.38389495480381,5.26381130572352,4.64668806577782,3.96784109637024
"203341_at",4.29039066480082,4.6402535557664,3.29974341331807,3.42507253041059,4.70676897965155,3.16461036941929,4.13789100959213,3.44970389981694,2.97761882140037,3.44567386558102,3.01150821057854,3.32340610120907
"201443_s_at",4.97170809648976,4.77572825081272,4.10110627036941,3.94239784823642,4.45301100148876,4.51406987440147,3.80661589245996,3.44981891834318,3.97620118928854,4.27887205751589,4.15962516401315,3.79222850992486
"218589_at",2.64321975994861,3.1146587181198,2.55833525689173,2.93527717420193,4.11785127115459,4.17714289759028,3.1609064923872,3.33929062633623,4.09043778531412,3.3755275825385,4.63436930878725,3.73344447432854
"204252_at",4.63912528528045,4.31648198457818,3.78979482221475,4.92482961692717,4.06587240388631,5.4414368322294,4.27847597945112,4.64094004051174,5.24183088028543,5.00019962494918,5.30475984254535,4.41331281329252
"218544_s_at",4.82081255678114,4.84270563242768,3.73619608791965,5.10206605096874,3.86947436858026,5.15738878626223,4.30762595223537,4.3766762136749,4.01708618972297,4.79457143698133,4.38701137072861,3.91803886581762
"201653_at",4.2350642078009,5.25897065963817,3.02923764482696,4.91939674608393,3.87528134501315,4.85844003594359,4.29319348544818,3.29694045275791,4.25623944970744,5.74719814782113,4.16987675949238,4.14011070213483
"201967_at",3.56261792546139,5.26423466856953,4.14965148744388,4.35652374474528,4.80767649573013,4.59128038242676,4.47442022522828,4.17646406250967,5.08696906211192,4.71842426810797,4.59282455769627,5.51317819659301
"201394_s_at",6.1246498774152,6.98942690046218,7.02521746791211,6.19801808673768,7.14151948334851,5.18583124157059,7.52324758073401,7.62463587524193,7.67623024827441,6.89184684133233,7.07333683522405,7.28592684674311
"202246_s_at",5.7746103899435,6.34563933852244,5.02488815230497,4.43409306589295,5.67073887500297,5.85702241991201,5.1228188444768,5.7046629756737,5.36122692880729,6.79250999583983,5.83056405976887,5.43459643251204
"200988_s_at",3.51022335136759,3.59475186635549,3.39946908531326,3.12476086489813,3.86947436858027,3.22949746788283,2.86664549878823,3.50412378702443,3.67446136386636,4.3027878724768,3.89529342717571,4.00112400664921
