"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"200036_s_at",9.29761135535528,9.83798246781165,9.29614354225429,9.24515191031741,9.77247113233861,7.56584419449746,9.98278178724354,8.06137655262603,8.8135437515445,8.40078359294312,9.51499285410359,8.44544536022084
"200037_s_at",5.7577896965329,4.92585525165996,4.46826869389509,4.25264218130506,4.53093620793772,4.01960118802526,4.87245140669221,4.04812732089403,4.99781253605222,4.65744211341342,5.42663943365304,3.98499780554676
"200038_s_at",10.3538396377962,10.2056376757597,9.5996510267747,9.32182486111932,9.92216187045582,7.43283164631553,9.99186963575468,8.13981033593561,9.00347979305916,9.40185421995007,9.51900585676418,9.63878944083568
"200039_s_at",5.83603795644725,7.04925438238113,4.77556492218232,5.2642537928978,5.70805654361406,5.76062138382641,4.34532235221634,4.5950461032944,5.58956452816512,6.66278108581917,5.48946649874293,5.64127564669409
"200040_at",7.78468923381655,7.62223716362238,6.70195451921091,5.34927712561411,6.05051466990595,4.88989598131575,6.69863073988978,4.74500615811827,6.42353680956145,5.70003132644131,6.52872910733545,6.95323436430138
"200041_s_at",7.58775792933143,8.1714241100291,6.97097318869021,8.11935709330858,7.75460291194878,7.20959660541275,8.28571063443332,7.0014162916239,8.08780901448377,7.55338954065684,8.10376236673479,7.52725369478261
"200042_at",6.28634631217093,5.79287049771861,5.77299567886332,6.57933123195531,6.12576358065173,6.7274696662675,6.0530230172346,6.20351201398453,6.38843903677711,6.75108696276321,6.20843888155596,5.66448013688713
"200043_at",6.48386555208447,6.85712335181564,5.43678007447132,5.92701593956485,7.10411862101548,5.49378487523823,6.92769266176045,5.79845737873916,6.68057249630728,5.8338373727333,6.77769418732341,6.26248140726501
"200044_at",6.07823194791259,6.821086676524,6.09599234205758,6.15405962741556,6.93618196589827,5.83942024819187,6.46057099684974,5.40823078156394,6.4456363173939,6.73494328335058,6.56789018311992,5.32122622445784
"200045_at",7.23092218974718,7.6216553705409,6.15118099357288,7.05144509167275,6.29403596767874,7.33721339131594,6.76509620255525,6.08480684953281,7.08179398238898,7.47610517968287,7.01899876327342,6.5198736998344
"200046_at",5.30257030857357,6.69160218058897,3.70544946607459,5.71313332755777,5.45864238530724,6.86794841086809,5.64271193427058,5.15685048681185,5.98320846879156,6.57761823930415,6.61820251444152,5.4884232811219
"200047_s_at",5.58423140514063,6.12938512395658,3.66671123918485,4.77776702249766,4.98343935722954,3.12446111483845,6.16451785685962,3.46814696089548,4.32967856403244,5.26227424258967,4.86664712245929,4.60799581395703
"200048_s_at",6.48463186090069,7.54769817719412,5.90605425399905,6.55209229258338,7.58788502201525,6.47378952350268,6.90978197453753,6.5063041483511,6.79091053473539,7.58747248140407,7.62918833064803,6.79843518673928
"200049_at",5.84633077079871,5.70732034608509,5.32700999977368,6.30373450183365,5.11996099216276,6.24610892158995,5.94263260051452,5.82436712110109,5.84388276528782,5.96604841106632,5.89130429387328,5.01066637557217
"200050_at",4.84911068929348,5.05389735033302,4.33335462036915,3.83879353065155,4.55791512708393,4.99158902319458,4.71951334573525,3.60317426364326,3.72994770638679,4.14689691467097,4.16621927621804,3.90234476116392
"200051_at",4.50476110429532,5.029635398767,5.61799349079035,4.27303380183057,5.33802798629396,3.86581127912572,4.65611929718936,4.77292449247554,5.45618204595146,5.01191144326336,4.24135436662211,5.75937392318985
"200052_s_at",4.13964766496768,6.59105800387821,5.15517016814694,4.86183167433115,5.05315858188885,4.57455850141194,5.18749034931242,4.4870016035494,5.50863729804261,5.46328216253354,4.07687417597571,6.02987865847542
"200053_at",6.65081697022926,6.0723640587362,6.18427608046859,5.64678816956568,6.46531526540241,6.8811388006165,6.49185720420228,6.54228023464455,6.73550953501932,6.48459495492201,6.85076032969186,6.4808613044164
"200054_at",5.40014607997156,5.82073567882758,3.70934524630921,4.75184891905558,4.66333782183676,4.73550450166512,4.79504384371605,5.02452842631155,4.34734070226559,4.89997634511739,4.91241103141401,4.61777171717688
"200055_at",7.4479034180994,7.28703970760726,6.31302614466005,6.95589908110137,7.33080521284256,7.62548147347788,7.37346606564726,6.09557218954756,7.28693787494794,6.8832741908176,7.99994017763656,5.47730060816625
"200056_s_at",2.31844913332696,2.60880310072912,2.09282748878765,2.1375723918421,2.11359096174145,2.5702651890155,2.44170320448859,2.22344925370012,2.11453049051904,2.14271025814202,2.18289622034019,2.12671204639928
"200057_s_at",8.79850901601778,8.56818948184817,8.55095022222811,7.57572861134448,8.66387200374411,7.13551689640364,8.39652964274004,7.23874198363894,8.49452388178557,7.81424861918703,9.13788784009381,7.96427284856352
"200058_s_at",6.292530073502,6.68632597863376,5.80569776065336,5.26855888512014,7.61924418519478,4.62474263492402,7.57106437688256,5.92016404678195,6.38952527442324,5.37838179366787,6.03534734512339,6.62655592742736
"200059_s_at",6.80636898664328,7.98903804681855,6.40420894935981,5.59623843443068,7.48565336820332,6.78005831212118,7.03488397383845,5.18448855415569,6.55386628161692,7.18460245042797,6.97584683010418,7.27821748400919
"200060_s_at",6.85336447564143,7.56778398987652,5.96472906649958,6.43762906346707,6.72559401255556,6.20682300103448,7.17325965178007,6.70193380856709,6.0881049611667,6.42161574397115,6.5827843996333,7.03975513618993
